Id:,26140
Estación:,HERMOSILLO (FFCC)-SON
Posición:,29.0958333333N -110.931944444W
Variable:,Unidades Calor (oD)
Fecha Inicial:,01/01/1973
Fecha Final:,01/01/1979
No Dato:,nan
Mes,Día,Anio,Datos
05,16,1973,13.91
05,17,1973,12.89
05,18,1973,12.4
05,19,1973,12.89
05,20,1973,null
05,21,1973,13.7
05,22,1973,12.99
05,23,1973,13.7
05,24,1973,14.38
05,25,1973,13.22
05,26,1973,13.7
05,27,1973,null
05,28,1973,14.1
05,29,1973,15.02
05,30,1973,16.23
05,31,1973,16.23
06,01,1973,14.92
06,02,1973,12.5
06,03,1973,null
06,04,1973,11.75
06,05,1973,14.69
06,06,1973,15.77
06,07,1973,16.72
06,08,1973,16.82
06,09,1973,17.54
06,10,1973,null
06,11,1973,16.23
06,12,1973,17.25
06,13,1973,16.23
06,14,1973,14.38
06,15,1973,14.18
06,16,1973,14.1
06,17,1973,null
06,18,1973,13.81
06,19,1973,14.11
06,20,1973,15.13
06,21,1973,17.06
06,22,1973,18.06
06,23,1973,18.81
06,24,1973,null
06,25,1973,18.25
06,26,1973,17.77
06,27,1973,17.62
06,28,1973,17.86
06,29,1973,18.25
06,30,1973,18.68
07,01,1973,null
07,02,1973,17.77
07,03,1973,17.13
07,04,1973,17.86
07,05,1973,17.86
07,06,1973,17.77
07,07,1973,17.93
07,08,1973,null
07,09,1973,18.31
07,10,1973,17.86
07,11,1973,18.09
07,12,1973,14.88
07,13,1973,16.68
07,14,1973,17.04
07,15,1973,null
07,16,1973,17.45
07,17,1973,17.67
07,18,1973,17.93
07,19,1973,18.0
07,20,1973,17.37
07,21,1973,18.0
07,22,1973,null
07,23,1973,17.62
07,24,1973,17.86
07,25,1973,18.17
07,26,1973,18.31
07,27,1973,18.09
07,28,1973,18.63
07,29,1973,null
07,30,1973,17.99
07,31,1973,18.49
08,01,1973,18.88
08,02,1973,15.47
08,03,1973,16.5
08,04,1973,16.5
08,05,1973,null
08,06,1973,16.82
08,07,1973,17.56
08,08,1973,18.09
08,09,1973,17.56
08,10,1973,14.92
08,11,1973,15.47
08,12,1973,null
08,13,1973,15.87
08,14,1973,17.13
08,15,1973,17.99
08,16,1973,17.56
08,17,1973,17.54
08,18,1973,18.73
08,19,1973,null
08,20,1973,18.63
08,21,1973,17.62
08,22,1973,17.75
08,23,1973,17.22
08,24,1973,18.0
08,25,1973,18.25
08,26,1973,null
08,27,1973,17.67
08,28,1973,16.5
08,29,1973,17.36
08,30,1973,17.45
08,31,1973,17.86
09,01,1973,16.62
09,02,1973,null
09,03,1973,16.4
09,04,1973,17.3
09,05,1973,17.62
09,06,1973,17.75
09,07,1973,16.82
09,08,1973,16.72
09,09,1973,null
09,10,1973,15.37
09,11,1973,13.5
09,12,1973,16.5
09,13,1973,16.37
09,14,1973,17.36
09,15,1973,17.45
09,16,1973,null
09,17,1973,17.14
09,18,1973,16.37
09,19,1973,17.45
09,20,1973,16.81
09,21,1973,15.93
09,22,1973,16.81
09,23,1973,null
09,24,1973,16.23
09,25,1973,15.13
09,26,1973,14.66
09,27,1973,13.91
09,28,1973,10.5
09,29,1973,11.0
09,30,1973,null
10,01,1973,null
10,02,1973,null
10,03,1973,null
10,04,1973,null
10,05,1973,null
10,06,1973,null
10,07,1973,null
10,08,1973,null
10,09,1973,null
10,10,1973,null
10,11,1973,null
10,12,1973,null
10,13,1973,null
10,14,1973,null
10,15,1973,null
10,16,1973,null
10,17,1973,null
10,18,1973,null
10,19,1973,null
10,20,1973,null
10,21,1973,null
10,22,1973,null
10,23,1973,null
10,24,1973,null
10,25,1973,null
10,26,1973,null
10,27,1973,null
10,28,1973,null
10,29,1973,null
10,30,1973,null
10,31,1973,null
11,01,1973,null
11,02,1973,null
11,03,1973,null
11,04,1973,null
11,05,1973,null
11,06,1973,null
11,07,1973,null
11,08,1973,null
11,09,1973,null
11,10,1973,null
11,11,1973,null
11,12,1973,null
11,13,1973,null
11,14,1973,null
11,15,1973,null
11,16,1973,null
11,17,1973,null
11,18,1973,null
11,19,1973,null
11,20,1973,null
11,21,1973,null
11,22,1973,null
11,23,1973,null
11,24,1973,null
11,25,1973,null
11,26,1973,null
11,27,1973,null
11,28,1973,null
11,29,1973,null
11,30,1973,null
12,01,1973,7.74
12,02,1973,null
12,03,1973,7.51
12,04,1973,3.38
12,05,1973,4.38
12,06,1973,6.56
12,07,1973,7.04
12,08,1973,7.74
12,09,1973,null
12,10,1973,8.22
12,11,1973,7.04
12,12,1973,6.56
12,13,1973,6.37
12,14,1973,5.9
12,15,1973,7.51
12,16,1973,null
12,17,1973,7.26
12,18,1973,4.98
12,19,1973,5.44
12,20,1973,6.56
12,21,1973,5.62
12,22,1973,4.25
12,23,1973,null
12,24,1973,2.78
12,25,1973,null
12,26,1973,2.86
12,27,1973,4.44
12,28,1973,5.28
12,29,1973,5.9
12,30,1973,null
12,31,1973,5.28
01,01,1974,null
01,02,1974,4.23
01,03,1974,1.15
01,04,1974,1.63
01,05,1974,2.46
01,06,1974,null
01,07,1974,3.94
01,08,1974,4.98
01,09,1974,1.69
01,10,1974,2.33
01,11,1974,3.63
01,12,1974,4.23
01,13,1974,null
01,14,1974,5.15
01,15,1974,5.62
01,16,1974,6.53
01,17,1974,7.78
01,18,1974,7.74
01,19,1974,7.5
01,20,1974,null
01,21,1974,6.53
01,22,1974,4.13
01,23,1974,2.07
01,24,1974,3.18
01,25,1974,3.94
01,26,1974,6.3
01,27,1974,null
01,28,1974,3.19
01,29,1974,4.83
01,30,1974,4.53
01,31,1974,3.94
02,01,1974,5.44
02,02,1974,5.74
02,03,1974,null
02,04,1974,7.04
02,05,1974,null
02,06,1974,3.63
02,07,1974,3.28
02,08,1974,3.28
02,09,1974,2.96
02,10,1974,null
02,11,1974,5.58
02,12,1974,6.66
02,13,1974,5.82
02,14,1974,4.98
02,15,1974,5.44
02,16,1974,6.09
02,17,1974,null
02,18,1974,5.13
02,19,1974,5.74
02,20,1974,3.38
02,21,1974,3.28
02,22,1974,3.5
02,23,1974,5.58
02,24,1974,null
02,25,1974,8.25
02,26,1974,7.51
02,27,1974,7.99
02,28,1974,8.71
03,01,1974,9.73
03,02,1974,8.97
03,03,1974,null
03,04,1974,5.81
03,05,1974,5.62
03,06,1974,5.9
03,07,1974,4.23
03,08,1974,3.47
03,09,1974,5.44
03,10,1974,null
03,11,1974,6.37
03,12,1974,7.29
03,13,1974,7.51
03,14,1974,8.71
03,15,1974,10.34
03,16,1974,9.26
03,17,1974,null
03,18,1974,11.03
03,19,1974,8.5
03,20,1974,6.11
03,21,1974,null
03,22,1974,5.82
03,23,1974,6.3
03,24,1974,null
03,25,1974,7.01
03,26,1974,7.5
03,27,1974,7.99
03,28,1974,9.26
03,29,1974,8.27
03,30,1974,8.76
03,31,1974,null
04,01,1974,11.02
04,02,1974,10.0
04,03,1974,8.1
04,04,1974,11.13
04,05,1974,11.13
04,06,1974,11.13
04,07,1974,null
04,08,1974,11.53
04,09,1974,9.66
04,10,1974,9.0
04,11,1974,7.11
04,12,1974,7.99
04,13,1974,7.99
04,14,1974,null
04,15,1974,11.03
04,16,1974,10.74
04,17,1974,10.0
04,18,1974,10.89
04,19,1974,10.74
04,20,1974,10.34
04,21,1974,null
04,22,1974,11.02
04,23,1974,11.92
04,24,1974,11.29
04,25,1974,12.69
04,26,1974,11.29
04,27,1974,11.4
04,28,1974,null
04,29,1974,10.34
04,30,1974,14.66
05,01,1974,null
05,02,1974,11.29
05,03,1974,10.63
05,04,1974,11.4
05,05,1974,null
05,06,1974,9.26
05,07,1974,9.37
05,08,1974,8.97
05,09,1974,10.9
05,10,1974,12.01
05,11,1974,11.78
05,12,1974,null
05,13,1974,13.16
05,14,1974,11.4
05,15,1974,10.74
05,16,1974,11.78
05,17,1974,13.63
05,18,1974,14.56
05,19,1974,null
05,20,1974,13.22
05,21,1974,11.03
05,22,1974,12.26
05,23,1974,12.59
05,24,1974,14.42
05,25,1974,13.97
05,26,1974,null
05,27,1974,13.97
05,28,1974,16.72
05,29,1974,16.93
05,30,1974,15.75
05,31,1974,16.62
06,01,1974,13.44
06,02,1974,null
06,03,1974,13.34
06,04,1974,13.34
06,05,1974,14.42
06,06,1974,14.56
06,07,1974,15.47
06,08,1974,14.38
06,09,1974,null
06,10,1974,13.44
06,11,1974,14.56
06,12,1974,15.98
06,13,1974,15.87
06,14,1974,16.82
06,15,1974,16.4
06,16,1974,null
06,17,1974,17.62
06,18,1974,17.62
06,19,1974,17.69
06,20,1974,17.22
06,21,1974,17.22
06,22,1974,17.62
06,23,1974,null
06,24,1974,16.82
06,25,1974,17.69
06,26,1974,18.06
06,27,1974,18.12
06,28,1974,18.12
06,29,1974,17.75
06,30,1974,null
07,01,1974,17.3
07,02,1974,17.62
07,03,1974,16.82
07,04,1974,16.9
07,05,1974,16.72
07,06,1974,16.81
07,07,1974,null
07,08,1974,16.72
07,09,1974,17.14
07,10,1974,17.04
07,11,1974,16.19
07,12,1974,16.37
07,13,1974,16.19
07,14,1974,null
07,15,1974,17.04
07,16,1974,16.62
07,17,1974,16.19
07,18,1974,16.37
07,19,1974,16.37
07,20,1974,16.06
07,21,1974,null
07,22,1974,17.25
07,23,1974,16.93
07,24,1974,17.25
07,25,1974,16.81
07,26,1974,16.68
07,27,1974,16.62
07,28,1974,null
07,29,1974,16.62
07,30,1974,14.87
07,31,1974,15.31
08,01,1974,14.56
08,02,1974,15.47
08,03,1974,15.31
08,04,1974,null
08,05,1974,16.5
08,06,1974,16.19
08,07,1974,16.3
08,08,1974,16.72
08,09,1974,16.06
08,10,1974,17.04
08,11,1974,null
08,12,1974,16.5
08,13,1974,15.77
08,14,1974,16.5
08,15,1974,15.75
08,16,1974,16.62
08,17,1974,16.4
08,18,1974,null
08,19,1974,16.98
08,20,1974,18.0
08,21,1974,17.86
08,22,1974,17.45
08,23,1974,16.5
08,24,1974,16.19
08,25,1974,null
08,26,1974,16.93
08,27,1974,16.37
08,28,1974,17.04
08,29,1974,17.45
08,30,1974,17.36
08,31,1974,16.81
09,01,1974,null
09,02,1974,16.81
09,03,1974,17.25
09,04,1974,15.93
09,05,1974,15.86
09,06,1974,17.45
09,07,1974,18.06
09,08,1974,null
09,09,1974,17.37
09,10,1974,16.82
09,11,1974,16.3
09,12,1974,16.62
09,13,1974,15.31
09,14,1974,16.19
09,15,1974,null
09,16,1974,null
09,17,1974,14.87
09,18,1974,14.66
09,19,1974,14.38
09,20,1974,14.56
09,21,1974,15.02
09,22,1974,null
09,23,1974,14.56
09,24,1974,13.91
09,25,1974,14.1
09,26,1974,14.26
09,27,1974,14.72
09,28,1974,14.72
09,29,1974,null
09,30,1974,15.47
10,01,1974,16.5
10,02,1974,14.26
10,03,1974,14.42
10,04,1974,14.87
10,05,1974,14.56
10,06,1974,null
10,07,1974,14.87
10,08,1974,14.42
10,09,1974,14.69
10,10,1974,13.91
10,11,1974,14.1
10,12,1974,14.1
10,13,1974,null
10,14,1974,13.63
10,15,1974,14.1
10,16,1974,13.44
10,17,1974,14.1
10,18,1974,13.44
10,19,1974,13.44
10,20,1974,null
10,21,1974,13.91
10,22,1974,13.44
10,23,1974,13.91
10,24,1974,11.0
10,25,1974,9.5
10,26,1974,12.49
10,27,1974,null
10,28,1974,14.56
10,29,1974,13.91
10,30,1974,12.71
10,31,1974,12.4
11,01,1974,6.79
11,02,1974,5.44
11,03,1974,null
11,04,1974,5.13
11,05,1974,6.37
11,06,1974,6.09
11,07,1974,null
11,08,1974,3.02
11,09,1974,8.5
11,10,1974,null
11,11,1974,9.0
11,12,1974,10.5
11,13,1974,9.0
11,14,1974,8.6
11,15,1974,10.0
11,16,1974,9.5
11,17,1974,null
11,18,1974,5.5
11,19,1974,7.6
11,20,1974,null
11,21,1974,7.29
11,22,1974,10.5
11,23,1974,10.0
11,24,1974,null
11,25,1974,6.79
11,26,1974,6.53
11,27,1974,6.3
11,28,1974,5.15
11,29,1974,4.69
11,30,1974,5.15
12,01,1974,null
12,02,1974,4.69
12,03,1974,4.87
12,04,1974,5.62
12,05,1974,5.34
12,06,1974,5.15
12,07,1974,4.38
12,08,1974,null
12,09,1974,2.86
12,10,1974,3.38
12,11,1974,1.63
12,12,1974,3.38
12,13,1974,3.5
12,14,1974,4.07
12,15,1974,null
12,16,1974,4.83
12,17,1974,4.69
12,18,1974,4.25
12,19,1974,4.13
12,20,1974,4.56
12,21,1974,4.13
12,22,1974,null
12,23,1974,3.18
12,24,1974,4.44
12,25,1974,null
12,26,1974,0.68
12,27,1974,0.35
12,28,1974,1.27
12,29,1974,null
12,30,1974,2.0
12,31,1974,0.94
01,01,1975,null
01,02,1975,1.32
01,03,1975,1.32
01,04,1975,3.7
01,05,1975,null
01,06,1975,4.25
01,07,1975,3.7
01,08,1975,3.7
01,09,1975,1.12
01,10,1975,1.75
01,11,1975,3.18
01,12,1975,null
01,13,1975,5.0
01,14,1975,6.03
01,15,1975,5.9
01,16,1975,5.74
01,17,1975,7.31
01,18,1975,6.09
01,19,1975,null
01,20,1975,4.53
01,21,1975,5.56
01,22,1975,3.19
01,23,1975,4.23
01,24,1975,6.3
01,25,1975,5.9
01,26,1975,null
01,27,1975,6.53
01,28,1975,4.23
01,29,1975,2.01
01,30,1975,1.97
01,31,1975,3.15
02,01,1975,null
02,02,1975,null
02,03,1975,4.23
02,04,1975,4.23
02,05,1975,null
02,06,1975,5.44
02,07,1975,5.82
02,08,1975,6.09
02,09,1975,null
02,10,1975,5.15
02,11,1975,5.82
02,12,1975,7.51
02,13,1975,7.99
02,14,1975,7.74
02,15,1975,3.94
02,16,1975,null
02,17,1975,3.63
02,18,1975,3.63
02,19,1975,4.56
02,20,1975,5.44
02,21,1975,5.0
02,22,1975,5.13
02,23,1975,null
02,24,1975,6.66
02,25,1975,5.74
02,26,1975,5.44
02,27,1975,7.31
02,28,1975,5.82
03,01,1975,8.47
03,02,1975,null
03,03,1975,9.11
03,04,1975,8.97
03,05,1975,7.74
03,06,1975,10.0
03,07,1975,7.26
03,08,1975,9.5
03,09,1975,null
03,10,1975,5.62
03,11,1975,2.57
03,12,1975,6.53
03,13,1975,4.4
03,14,1975,4.23
03,15,1975,5.82
03,16,1975,null
03,17,1975,8.22
03,18,1975,8.22
03,19,1975,8.71
03,20,1975,9.1
03,21,1975,null
03,22,1975,7.6
03,23,1975,null
03,24,1975,7.99
03,25,1975,7.51
03,26,1975,7.0
03,27,1975,4.53
03,28,1975,4.69
03,29,1975,4.69
03,30,1975,null
03,31,1975,5.15
04,01,1975,4.4
04,02,1975,6.56
04,03,1975,7.51
04,04,1975,7.74
04,05,1975,7.74
04,06,1975,null
04,07,1975,2.57
04,08,1975,3.38
04,09,1975,4.07
04,10,1975,5.15
04,11,1975,5.82
04,12,1975,6.78
04,13,1975,null
04,14,1975,7.99
04,15,1975,8.71
04,16,1975,10.0
04,17,1975,7.0
04,18,1975,6.79
04,19,1975,9.66
04,20,1975,null
04,21,1975,9.37
04,22,1975,10.5
04,23,1975,7.74
04,24,1975,8.71
04,25,1975,9.26
04,26,1975,7.29
04,27,1975,null
04,28,1975,8.27
04,29,1975,7.78
04,30,1975,8.47
05,01,1975,null
05,02,1975,9.11
05,03,1975,9.66
05,04,1975,null
05,05,1975,null
05,06,1975,10.0
05,07,1975,8.97
05,08,1975,9.26
05,09,1975,10.56
05,10,1975,12.76
05,11,1975,null
05,12,1975,11.23
05,13,1975,11.75
05,14,1975,11.55
05,15,1975,9.1
05,16,1975,8.6
05,17,1975,9.5
05,18,1975,null
05,19,1975,10.0
05,20,1975,9.59
05,21,1975,12.59
05,22,1975,9.59
05,23,1975,10.56
05,24,1975,12.49
05,25,1975,null
05,26,1975,12.49
05,27,1975,11.4
05,28,1975,11.0
05,29,1975,11.5
05,30,1975,13.22
05,31,1975,12.74
06,01,1975,null
06,02,1975,13.66
06,03,1975,14.42
06,04,1975,13.34
06,05,1975,13.16
06,06,1975,12.74
06,07,1975,16.19
06,08,1975,null
06,09,1975,14.87
06,10,1975,14.56
06,11,1975,15.13
06,12,1975,12.5
06,13,1975,15.31
06,14,1975,15.98
06,15,1975,null
06,16,1975,15.31
06,17,1975,14.87
06,18,1975,14.42
06,19,1975,14.72
06,20,1975,14.44
06,21,1975,13.63
06,22,1975,null
06,23,1975,13.63
06,24,1975,13.97
06,25,1975,13.97
06,26,1975,15.44
06,27,1975,14.87
06,28,1975,15.98
06,29,1975,null
06,30,1975,16.72
07,01,1975,16.72
07,02,1975,16.72
07,03,1975,17.25
07,04,1975,16.81
07,05,1975,17.77
07,06,1975,null
07,07,1975,15.4
07,08,1975,15.87
07,09,1975,16.72
07,10,1975,17.77
07,11,1975,17.86
07,12,1975,16.5
07,13,1975,null
07,14,1975,16.5
07,15,1975,17.04
07,16,1975,18.09
07,17,1975,17.99
07,18,1975,17.13
07,19,1975,16.06
07,20,1975,null
07,21,1975,15.6
07,22,1975,15.6
07,23,1975,15.5
07,24,1975,15.6
07,25,1975,16.23
07,26,1975,16.68
07,27,1975,null
07,28,1975,15.31
07,29,1975,16.06
07,30,1975,16.62
07,31,1975,16.62
08,01,1975,17.54
08,02,1975,17.45
08,03,1975,null
08,04,1975,18.37
08,05,1975,18.17
08,06,1975,16.62
08,07,1975,18.25
08,08,1975,17.25
08,09,1975,17.36
08,10,1975,null
08,11,1975,15.62
08,12,1975,16.37
08,13,1975,15.31
08,14,1975,14.66
08,15,1975,16.5
08,16,1975,14.87
08,17,1975,null
08,18,1975,14.87
08,19,1975,15.75
08,20,1975,15.75
08,21,1975,16.5
08,22,1975,15.93
08,23,1975,16.62
08,24,1975,17.14
08,25,1975,17.25
08,26,1975,17.67
08,27,1975,17.67
08,28,1975,17.67
08,29,1975,17.86
08,30,1975,17.36
08,31,1975,null
09,01,1975,17.56
09,02,1975,15.31
09,03,1975,16.23
09,04,1975,16.68
09,05,1975,16.93
09,06,1975,15.93
09,07,1975,null
09,08,1975,15.31
09,09,1975,15.77
09,10,1975,16.37
09,11,1975,16.72
09,12,1975,16.3
09,13,1975,16.72
09,14,1975,null
09,15,1975,15.47
09,16,1975,16.37
09,17,1975,16.81
09,18,1975,17.25
09,19,1975,17.93
09,20,1975,17.45
09,21,1975,null
09,22,1975,18.49
09,23,1975,15.17
09,24,1975,14.85
09,25,1975,14.56
09,26,1975,14.56
09,27,1975,13.91
09,28,1975,null
09,29,1975,14.38
09,30,1975,13.91
10,01,1975,13.96
10,02,1975,14.1
10,03,1975,13.44
10,04,1975,13.44
10,05,1975,null
10,06,1975,13.44
10,07,1975,12.4
10,08,1975,13.63
10,09,1975,12.26
10,10,1975,12.01
10,11,1975,11.29
10,12,1975,null
10,13,1975,10.0
10,14,1975,8.76
10,15,1975,3.94
10,16,1975,9.26
10,17,1975,11.29
10,18,1975,10.89
10,19,1975,null
10,20,1975,10.63
10,21,1975,6.79
10,22,1975,9.59
10,23,1975,8.5
10,24,1975,10.56
10,25,1975,10.89
10,26,1975,null
10,27,1975,10.8
10,28,1975,11.13
10,29,1975,11.52
10,30,1975,10.0
10,31,1975,10.3
11,01,1975,10.56
11,02,1975,null
11,03,1975,10.89
11,04,1975,10.27
11,05,1975,10.8
11,06,1975,11.35
11,07,1975,null
11,08,1975,10.41
11,09,1975,null
11,10,1975,10.0
11,11,1975,10.5
11,12,1975,10.41
11,13,1975,11.0
11,14,1975,10.5
11,15,1975,10.5
11,16,1975,null
11,17,1975,10.0
11,18,1975,10.0
11,19,1975,7.99
11,20,1975,null
11,21,1975,8.22
11,22,1975,5.62
11,23,1975,null
11,24,1975,6.3
11,25,1975,8.76
11,26,1975,10.0
11,27,1975,9.66
11,28,1975,8.71
11,29,1975,8.48
11,30,1975,null
12,01,1975,8.22
12,02,1975,7.51
12,03,1975,7.74
12,04,1975,5.13
12,05,1975,5.28
12,06,1975,5.9
12,07,1975,null
12,08,1975,6.56
12,09,1975,6.3
12,10,1975,5.62
12,11,1975,6.37
12,12,1975,7.29
12,13,1975,6.53
12,14,1975,null
12,15,1975,7.6
12,16,1975,7.01
12,17,1975,6.3
12,18,1975,5.9
12,19,1975,5.28
12,20,1975,5.13
12,21,1975,null
12,22,1975,6.19
12,23,1975,5.13
12,24,1975,3.28
12,25,1975,null
12,26,1975,2.78
12,27,1975,3.38
12,28,1975,null
12,29,1975,2.96
12,30,1975,2.64
12,31,1975,3.5
01,01,1976,null
01,02,1976,5.13
01,03,1976,1.32
01,04,1976,null
01,05,1976,2.07
01,06,1976,2.64
01,07,1976,3.18
01,08,1976,4.23
01,09,1976,3.47
01,10,1976,4.69
01,11,1976,null
01,12,1976,4.69
01,13,1976,6.5
01,14,1976,6.5
01,15,1976,5.9
01,16,1976,5.44
01,17,1976,5.81
01,18,1976,null
01,19,1976,4.98
01,20,1976,5.15
01,21,1976,5.5
01,22,1976,5.0
01,23,1976,6.11
01,24,1976,4.84
01,25,1976,null
01,26,1976,5.82
01,27,1976,3.77
01,28,1976,5.62
01,29,1976,6.09
01,30,1976,6.56
01,31,1976,6.09
02,01,1976,null
02,02,1976,8.22
02,03,1976,6.78
02,04,1976,6.56
02,05,1976,null
02,06,1976,5.82
02,07,1976,5.15
02,08,1976,null
02,09,1976,10.9
02,10,1976,5.0
02,11,1976,1.22
02,12,1976,2.18
02,13,1976,4.4
02,14,1976,2.33
02,15,1976,null
02,16,1976,3.94
02,17,1976,4.53
02,18,1976,5.15
02,19,1976,6.3
02,20,1976,6.78
02,21,1976,5.9
02,22,1976,null
02,23,1976,6.09
02,24,1976,6.56
02,25,1976,7.26
02,26,1976,8.22
02,27,1976,8.97
02,28,1976,8.48
02,29,1976,null
03,01,1976,9.26
03,02,1976,8.22
03,03,1976,7.01
03,04,1976,3.07
03,05,1976,2.46
03,06,1976,3.94
03,07,1976,null
03,08,1976,3.38
03,09,1976,4.69
03,10,1976,5.44
03,11,1976,3.77
03,12,1976,6.09
03,13,1976,6.56
03,14,1976,null
03,15,1976,8.71
03,16,1976,8.71
03,17,1976,9.7
03,18,1976,8.71
03,19,1976,9.59
03,20,1976,10.41
03,21,1976,null
03,22,1976,8.76
03,23,1976,8.76
03,24,1976,9.1
03,25,1976,9.59
03,26,1976,9.1
03,27,1976,null
03,28,1976,9.5
03,29,1976,10.9
03,30,1976,9.59
03,31,1976,8.76
04,01,1976,10.3
04,02,1976,9.49
04,03,1976,11.0
04,04,1976,null
04,05,1976,11.5
04,06,1976,7.0
04,07,1976,10.5
04,08,1976,10.5
04,09,1976,10.0
04,10,1976,11.5
04,11,1976,null
04,12,1976,11.5
04,13,1976,8.5
04,14,1976,8.0
04,15,1976,8.0
04,16,1976,null
04,17,1976,null
04,18,1976,null
04,19,1976,11.52
04,20,1976,11.0
04,21,1976,11.73
04,22,1976,10.34
04,23,1976,9.5
04,24,1976,10.5
04,25,1976,null
04,26,1976,7.12
04,27,1976,7.92
04,28,1976,9.5
04,29,1976,9.0
04,30,1976,10.5
05,01,1976,null
05,02,1976,null
05,03,1976,18.88
05,04,1976,14.67
05,05,1976,null
05,06,1976,8.5
05,07,1976,9.5
05,08,1976,8.5
05,09,1976,null
05,10,1976,11.0
05,11,1976,11.52
05,12,1976,12.26
05,13,1976,12.49
05,14,1976,12.13
05,15,1976,11.74
05,16,1976,null
05,17,1976,12.69
05,18,1976,15.6
05,19,1976,11.5
05,20,1976,10.5
05,21,1976,11.73
05,22,1976,12.99
05,23,1976,null
05,24,1976,11.78
05,25,1976,13.22
05,26,1976,10.41
05,27,1976,12.26
05,28,1976,12.99
05,29,1976,11.78
05,30,1976,null
05,31,1976,12.5
06,01,1976,13.22
06,02,1976,12.69
06,03,1976,13.44
06,04,1976,13.63
06,05,1976,13.22
06,06,1976,null
06,07,1976,13.16
06,08,1976,13.63
06,09,1976,15.47
06,10,1976,15.62
06,11,1976,13.44
06,12,1976,13.47
06,13,1976,null
06,14,1976,16.06
06,15,1976,17.36
06,16,1976,16.93
06,17,1976,16.81
06,18,1976,17.36
06,19,1976,17.36
06,20,1976,null
06,21,1976,18.37
06,22,1976,18.0
06,23,1976,18.0
06,24,1976,16.81
06,25,1976,16.5
06,26,1976,17.54
06,27,1976,null
06,28,1976,18.37
06,29,1976,18.68
06,30,1976,19.03
07,01,1976,17.86
07,02,1976,17.86
07,03,1976,17.45
07,04,1976,null
07,05,1976,17.86
07,06,1976,17.93
07,07,1976,17.45
07,08,1976,17.67
07,09,1976,17.36
07,10,1976,16.23
07,11,1976,null
07,12,1976,15.87
07,13,1976,16.06
07,14,1976,16.53
07,15,1976,17.67
07,16,1976,17.88
07,17,1976,17.09
07,18,1976,null
07,19,1976,17.88
07,20,1976,17.56
07,21,1976,16.36
